,name,score
356,geforce fx 5900xt,40
357,geforce fx 5900zt,32
358,geforce fx 5950 ultra,59
359,geforce fx go 5200,8
360,geforce fx go 5600,17
361,geforce fx go5300,12
362,geforce fx go5650,16
363,geforce fx go5700,51
364,geforce g 103m,62
365,geforce g 105m,74
366,geforce g100,176
367,geforce g102m,167
368,geforce g105m,133
369,geforce g200,136
370,geforce g205m,91
371,geforce g210,128
372,geforce g210m,129
373,geforce go 6100,17
374,geforce go 6150,19
375,geforce go 6200,15
376,geforce go 6400,24
377,geforce go 6600,69
378,geforce go 6600 te 6200 te,44
379,geforce go 6800,106
380,geforce go 6800 ultra,137
381,geforce go 7200,45
382,geforce go 7300,52
383,geforce go 7400,65
384,geforce go 7600,127
385,geforce go 7600 gt,210
386,geforce go 7700,147
387,geforce go 7800,114
388,geforce go 7800 gtx,209
389,geforce go 7900 gs,177
390,geforce go 7900 gtx,270
391,geforce go 7950 gtx,263
392,geforce,1161
393,geforce gt 1030,2415
394,geforce gt 120,166
395,geforce gt 120 9500 gt,324
396,geforce gt 120m,150
397,geforce gt 130,381
398,geforce gt 130m,145
399,geforce gt 140,657
400,geforce gt 220,222
401,geforce gt 220m,126
402,geforce gt 230,323
403,geforce gt 230m,215
404,geforce gt 240,499
405,geforce gt 240m,213
406,geforce gt 320,470
407,geforce gt 320m,106
408,geforce gt 325m,169
409,geforce gt 330,396
410,geforce gt 330m,221
411,geforce gt 335m,372
412,geforce gt 340,738
413,geforce gt 415,251
414,geforce gt 415m,286
415,geforce gt 420,429
416,geforce gt 420m,393
417,geforce gt 425m,511
418,geforce gt 430,602
419,geforce gt 435m,535
420,geforce gt 440,773
421,geforce gt 445m,811
422,geforce gt 520,325
423,geforce gt 520m,284
424,geforce gt 520mx,284
425,geforce gt 525m,452
426,geforce gt 530,666
427,geforce gt 540m,477
428,geforce gt 545,1114
429,geforce gt 550m,569
430,geforce gt 555m,652
431,geforce gt 610,325
432,geforce gt 610m gt 620m gt 710m gt 720m gt,368
433,geforce gt 620,383
434,geforce gt 620m,430
435,geforce gt 625,368
436,geforce gt 625m,484
437,geforce gt 630,688
438,geforce gt 630m,526
439,geforce gt 635,815
440,geforce gt 635m,549
441,geforce gt 640,1166
442,geforce gt 640m,931
443,geforce gt 640m le,700
444,geforce gt 645,2005
445,geforce gt 645m,940
446,geforce gt 650m,1195
447,geforce gt 705,355
448,geforce gt 710,621
449,geforce gt 710m,433
450,geforce gt 720,657
451,geforce gt 720a,573
452,geforce gt 720m,444
453,geforce gt 730,820
454,geforce gt 730a,742
455,geforce gt 730m,808
456,geforce gt 735m,654
457,geforce gt 740,1458
458,geforce gt 740a,667
459,geforce gt 740m,788
460,geforce gt 745a,1237
461,geforce gt 745m,1097
462,geforce gt 750m,1331
463,geforce gt 755m,1724
464,geforce gt 820m,547
465,geforce gt625m,451
466,geforce gts 150m,504
467,geforce gts 160m,678
468,geforce gts 240,549
469,geforce gts 250,579
470,geforce gts 250m,553
471,geforce gts 350m,380
472,geforce gts 360m,644
473,geforce gts 450,1327
474,geforce gtx 1050,5027
475,geforce gtx 1050,4462
476,geforce gtx 1050 3gb,5105
477,geforce gtx 1050 ti,6343
478,geforce gtx 1050 ti,5917
479,geforce gtx 1050 ti with max q design,5302
480,geforce gtx 1050 with max q design,3992
481,geforce gtx 1060,10083
482,geforce gtx 1060,8160
483,geforce gtx 1060 3gb,9804
484,geforce gtx 1060 5gb,9100
485,geforce gtx 1060 with max q design,7855
486,geforce gtx 1070,13500
487,geforce gtx 1070,10465
488,geforce gtx 1070 ti,14670
489,geforce gtx 1070 with max q design,9848
490,geforce gtx 1080,15585
491,geforce gtx 1080 ti,18601
492,geforce gtx 1080 with max q design,11464
493,geforce gtx 1630,4977
494,geforce gtx 1650,7886
495,geforce gtx 1650,6968
496,geforce gtx 1650 super,10185
497,geforce gtx 1650 ti,7526
498,geforce gtx 1650 ti with max q design,6533
499,geforce gtx 1650 with max q design,6249
500,geforce gtx 1660,11656
501,geforce gtx 1660 super,12699
502,geforce gtx 1660 ti,12875
503,geforce gtx 1660 ti,10136
504,geforce gtx 1660 ti with max q design,8563
505,geforce gtx 260,1205
506,geforce gtx 260m,380
507,geforce gtx 275,1379
508,geforce gtx 280,1277
509,geforce gtx 280m,575
510,geforce gtx 285,1500
511,geforce gtx 285m,636
512,geforce gtx 295,1200
513,geforce gtx 460,2276
514,geforce gtx 460 se,1992
515,geforce gtx 460 v2,1954
516,geforce gtx 460m,1214
517,geforce gtx 465,2653
518,geforce gtx 470,3140
519,geforce gtx 470m,1953
520,geforce gtx 480,4106
521,geforce gtx 480m,1617
522,geforce gtx 485m,2359
523,geforce gtx 550 ti,1559
524,geforce gtx 555,1588
525,geforce gtx 560,2772
526,geforce gtx 560 se,1847
527,geforce gtx 560 ti,3067
528,geforce gtx 560m,1266
529,geforce gtx 570,3918
530,geforce gtx 570m,1877
531,geforce gtx 580,4634
532,geforce gtx 580m,2074
533,geforce gtx 590,3341
534,geforce gtx 645,1880
535,geforce gtx 650,1751
536,geforce gtx 650 ti,2521
537,geforce gtx 650 ti boost,3397
538,geforce gtx 660,4029
539,geforce gtx 660 ti,4399
540,geforce gtx 660m,6239
541,geforce gtx 670,5353
542,geforce gtx 670m,1723
543,geforce gtx 670mx,1973
544,geforce gtx 675m,1863
545,geforce gtx 675mx,2969
546,geforce gtx 680,5601
547,geforce gtx 680m,3276
548,geforce gtx 680m ky bullet edition,3568
549,geforce gtx 680mx,3686
550,geforce gtx 690,5474
551,geforce gtx 745,2126
552,geforce gtx 750,3324
553,geforce gtx 750 ti,3903
554,geforce gtx 760,4806
555,geforce gtx 760 ti,5306
556,geforce gtx 760 ti oem,5427
557,geforce gtx 760a,1226
558,geforce gtx 760m,1703
559,geforce gtx 765m,2015
560,geforce gtx 770,5943
561,geforce gtx 770m,2762
562,geforce gtx 775m,3688
563,geforce gtx 780,7970
564,geforce gtx 780 ti,9462
565,geforce gtx 780m,3822
566,geforce gtx 850a,1049
567,geforce gtx 850m,2525
568,geforce gtx 850m modded,1091
569,geforce gtx 860m,3081
570,geforce gtx 870m,3518
571,geforce gtx 880m,3817
572,geforce gtx 950,5350
573,geforce gtx 950a,2593
574,geforce gtx 950m,2576
575,geforce gtx 960,6118
576,geforce gtx 960a,3464
577,geforce gtx 960m,3371
578,geforce gtx 965m,3846
579,geforce gtx 970,9640
580,geforce gtx 970m,5698
581,geforce gtx 970xm force,6706
582,geforce gtx 980,11101
583,geforce gtx 980 ti,13722
584,geforce gtx 980m,7338
585,geforce gtx titan,8197
586,geforce gtx titan black,9184
587,geforce gtx titan x,12782
588,geforce gtx titan z,8810
589,geforce mx110,1417
590,geforce mx130,1814
591,geforce mx150,2255
592,geforce mx230,1827
593,geforce mx250,2388
594,geforce mx330,2367
595,geforce mx350,2811
596,geforce mx450,3723
597,geforce mx550,4516
598,geforce mx570,5714
599,geforce mx570 a,6171
600,geforce pcx 5300,6
601,geforce pcx 5750,34
602,geforce pcx 5900,34
603,geforce rtx 2050,7762
604,geforce rtx 2060,14113
605,geforce rtx 2060,11352
606,geforce rtx 2060 12gb,15926
607,geforce rtx 2060 super,16452
608,geforce rtx 2060 with max q design,9733
609,geforce rtx 2070,16095
610,geforce rtx 2070,12357
611,geforce rtx 2070 super,18175
612,geforce rtx 2070 super with max q design,13591
613,geforce rtx 2070 with max q design,11541
614,geforce rtx 2080,18721
615,geforce rtx 2080,15013
616,geforce rtx 2080 super,19493
617,geforce rtx 2080 super with max q design,13608
618,geforce rtx 2080 ti,21555
619,geforce rtx 2080 with max q design,12820
620,geforce rtx 3050 4gb laptop,9494
621,geforce rtx 3050 6gb,10728
622,geforce rtx 3050 6gb laptop,10231
623,geforce rtx 3050 8gb,12571
624,geforce rtx 3050 a laptop,11663
625,geforce rtx 3050 laptop,12144
626,geforce rtx 3050 oem,11849
627,geforce rtx 3050 ti laptop,10101
628,geforce rtx 3060,17157
629,geforce rtx 3060 12gb,16815
630,geforce rtx 3060 8gb,15220
631,geforce rtx 3060 laptop,13227
632,geforce rtx 3060 ti,20352
633,geforce rtx 3070,22216
634,geforce rtx 3070 laptop,15317
635,geforce rtx 3070 ti,23364
636,geforce rtx 3070 ti laptop,17744
637,geforce rtx 3080,25090
638,geforce rtx 3080 12gb,26552
639,geforce rtx 3080 laptop,16341
640,geforce rtx 3080 ti,26902
641,geforce rtx 3080 ti laptop,19284
642,geforce rtx 3090,26648
643,geforce rtx 3090 ti,29452
644,geforce rtx 4050 laptop,14424
645,geforce rtx 4060,19684
646,geforce rtx 4060 laptop,17489
647,geforce rtx 4060 ti,22697
648,geforce rtx 4060 ti 16gb,22745
649,geforce rtx 4070,26931
650,geforce rtx 4070 laptop,19600
651,geforce rtx 4070 super,29974
652,geforce rtx 4070 ti,31610
653,geforce rtx 4070 ti super,31777
654,geforce rtx 4080,34437
655,geforce rtx 4080 laptop,24992
656,geforce rtx 4080 super,34212
657,geforce rtx 4090,38215
658,geforce rtx 4090 d,32259
659,geforce rtx 4090 laptop,27242
660,geforce rtx 5050,16763
661,geforce rtx 5050 laptop,17562
662,geforce rtx 5060,20848
663,geforce rtx 5060 laptop,19143
664,geforce rtx 5060 ti 16gb,22903
665,geforce rtx 5060 ti 8gb,22248
666,geforce rtx 5070,29019
667,geforce rtx 5070 laptop,20682
668,geforce rtx 5070 ti,32867
669,geforce rtx 5070 ti laptop,23966
670,geforce rtx 5080,36395
671,geforce rtx 5080 laptop,27676
672,geforce rtx 5090,39611
673,geforce rtx 5090 d,43923
674,geforce rtx 5090 laptop,30161
675,geforce2 go,4
676,geforce2 gts geforce2 pro,3
677,geforce2 integrated,4
678,geforce2 mx,2
679,geforce2 mx 100 200,3
680,geforce2 mx with dvi d and tv out,4
681,geforce2 mx with tv out,2
682,geforce2 mx mx 400,3
683,geforce2 ti,4
684,geforce2 ultra,6
685,geforce3,4
686,geforce3 ti 200,4
687,geforce3 ti 500,2
688,geforce4 420 go,3
689,geforce4 420 go 32m,5
690,geforce4 4200 go,3
691,geforce4 440,4
692,geforce4 440 go,3
693,geforce4 440 go 64m,5
694,geforce4 448 go,5
695,geforce4 mx 4000,4
696,geforce4 mx 420,4
697,geforce4 mx 440,4
698,geforce4 mx 440 with agp8x,4
699,geforce4 mx 440se,4
700,geforce4 mx 460,4
701,geforce4 mx integrated,6
702,geforce4 ti 4200,5
703,geforce4 ti 4400,7
704,geforce4 ti 4600,5
705,geforce4 ti 4800,5
706,geforce4 ti 4800 se,6
707,geforce9400m,105
708,gf117,554
709,glenfly arise gt 10c0,1007
710,grid gtx p40 6,4340
711,grid k1,650
712,grid k120q,293
713,grid k140q,727
714,grid k160q,628
715,grid k180q,533
716,grid k2,2736
717,grid k220q,912
718,grid k240q,2541
719,grid k260q,2949
720,grid k280q,2839
721,grid k520,3516
722,grid m10 0b,870
723,grid m10 0q,795
724,grid m10 1b,1493
725,grid m10 1q,2384
726,grid m10 2b,1623
727,grid m10 2q,2691
728,grid m10 4q,2976
729,grid m10 8q,2068
730,grid m6 0b,911
731,grid m6 1q,2069
732,grid m6 8q,3568
733,grid m60 0b,1838
734,grid m60 0q,827
735,grid m60 1b,4456
736,grid m60 1q,3694
737,grid m60 2q,5203
738,grid m60 4q,3831
739,grid m60 8a,5523
740,grid m60 8q,3883
741,grid p100 16q,5944
742,grid p100 1b,2223
743,grid p100 8q,3267
744,grid p4 1b,2151
745,grid p4 1q,729
746,grid p4 2b4,2753
747,grid p4 2q,2692
748,grid p4 4q,6234
749,grid p4 8a,3206
750,grid p4 8q,5355
751,grid p40 12q,5752
752,grid p40 1b,3690
753,grid p40 1q,7571
754,grid p40 24q,7956
755,grid p40 2b,9842
756,grid p40 2b4,8160
757,grid p40 2q,4130
758,grid p40 3q,681
759,grid p40 4q,4921
760,grid p40 8q,7507
761,grid p6 2q,3925
762,grid p6 4q,4429
763,grid rtx6000 1b,8473
764,grid rtx6000 6q,21986
765,grid rtx6000p 6q,4777
766,grid t4 16q,4910
767,grid t4 1b,1731
768,grid t4 1q,3302
769,grid t4 2b,2900
770,grid t4 2q,3765
771,grid t4 4q,3608
772,grid t4 8q,5565
773,grid v100 8q,16
774,grid v100d 8q,4155
775,gt 430,223
776,incredible hd,389
777,incredible hd 4000,517
778,incredible hd 4600,749
779,express chipset g41,56
780,express chipset q45 q43,57
781,2nd generation sandybridge hd,169
782,2nd generation sandybridge hd 3000,205
783,4th generation haswell hd,419
784,82845g,2
785,82845g gl,2
786,82845g gl ge pe gv,2
787,82852 82855 gm gme,1
788,82865g,4
789,82915g express,5
790,82915g 915gv 910gl,3
791,82915g gv 910gl advanced v3 5,2
792,82915g gv 910gl express,3
793,82945g express,9
794,82945g express chipsatzfamilie,8
795,865 embedded,3
796,915g 910g express,4
797,915g 915gv 910gl embedded functio,4
798,945g embedded chipset function 0,4
799,946gz embedded chipset,3
800,946gz express,2
801,arc,5507
802,arc 130t,6417
803,arc 130v,4612
804,arc 140t,5634
805,arc 140t,6843
806,arc 140v,5226
807,arc a310,5432
808,arc a310 lp,4930
809,arc a370m,5115
810,arc a380,6252
811,arc a530m,7915
812,arc a580,12003
813,arc a730m,9808
814,arc a750,12527
815,arc a770,13250
816,arc a770m,11803
817,arc b570,14182
818,arc b580,15759
819,arc pro,5775
820,arc pro 140t,6695
821,arc pro a40 a50,5478
822,arc pro a60,9194
823,b43 express chipset,138
824,coffee lake uhd,1158
825,extreme,1
826,g33 g31 express,38
827,g35 express,2097
828,g41 express chipset,145
829,g41 express chipsatz,57
830,g45 g43 express chipset,141
831,g45 g43 g41 express chipset,67
832,g965 express,222
833,gma 3150 express,2
834,,3168
835,haswell hd gt1,123
836,haswell hd gt2,139
837,hd 2000,213
838,hd 3000,260
839,hd 4000,344
840,hd 4400,524
841,hd 4600,628
842,hd 4600 manual gen9 2015 134121,619
843,hd 500,300
844,hd 5000,584
845,hd 505,359
846,hd 510,619
847,hd 515,637
848,hd 520,862
849,hd 5200,830
850,hd 530,992
851,hd 5300,404
852,hd 5500,593
853,hd 5600,1868
854,hd 6000,875
855,hd 610,689
856,hd 615,699
857,hd 630,1112
858,hd family,464
859,hd 620,921
860,hd manual 15 28 1861,62
861,hd manual gen9 2015 133271,165
862,hd modded,112
863,hd p3000,282
864,hd p4000,516
865,hd p4600,505
866,hd p4600 p4700,630
867,hd p530,1154
868,hd p630,1220
869,infoshock hd,193
870,iris 5100,743
871,iris 540,1262
872,iris 550,1438
873,iris 6100,902
874,iris 650,1432
875,iris plus,1801
876,iris plus 640,1357
877,iris plus 645,1749
878,iris plus 650,1610
879,iris plus 655,1718
880,iris pro 5200,1176
881,iris pro 580,1985
882,iris pro 6100,925
883,iris pro 6200,1525
884,iris pro p580,1754
885,iris pro p6300,1596
886,iris xe,2644
887,iris xe max,1971
888,iris xe max 100,1964
889,media accelerator,32
890,media accelerator 3150,2
891,media accelerator 500,3
892,media accelerator 600,6
893,media accelerator hd,106
894,poison ivy,738
895,q33 express,7
896,q35 embedded,8
897,q35 express,64
898,q45 q43 express chipset,201
899,q45 q43 express chipsatz,57
900,q965 q963 express,125
901,skylake hd dt gt2,576
902,uhd 630,614
903,uhd,1500
904,uhd 600,316
905,uhd 605,365
906,uhd 610,684
907,uhd 615,716
908,uhd 617,852
909,uhd 620,1041
910,uhd 630,1231
911,uhd 710,1059
912,uhd 730,1514
913,uhd 750,1711
914,uhd 770,1902
915,uhd p630,1983
916,uhd p750,1662
917,us15 embedded media and,7
918,ion,108
919,ion le,97
920,l4,7008
921,l4 12q,3543
922,l4 1q,258
923,l4 2a,3063
924,l4 2q,4062
925,l4 4q,4926
926,l4 6q,4473
927,l4 8q,5706
928,l40 8q,11670
929,l40s,20022
930,l40s 12a,3659
931,l40s 12q,4151
932,l40s 1q,2931
933,l40s 8q,5093
934,m860g with mobility radeon 4100,75
935,m880g with mobility radeon hd 4200,92
936,m880g with mobility radeon hd 4225,71
937,m880g with mobility radeon hd 4250,104
938,master x3100 driver,10
939,matrox c420 lp pcie x16,597
940,matrox c680 pcie x16,1873
941,matrox c900 pcie x16,1812
942,matrox g200e wddm 1 2,59
943,matrox g200e wddm 2 0,100
944,matrox g200eh,40
945,matrox g200eh wddm 1 2,51
946,matrox g200eh wddm 2 0,49
947,matrox g200er,36
948,matrox g200er wddm 1 2,45
949,matrox g200er wddm 2 0,67
950,matrox g200ew,39
951,matrox g200ew wddm 1 2,50
952,matrox g200ew3 wddm 2 0,89
953,matrox luma a310,3690
954,matrox luma a310f,3873
955,matrox luma a380p,5811
956,matrox m9120 pcie x16,19
957,matrox m9120 plus lp pcie x16,25
958,matrox m9125 pcie x16,25
959,matrox m9128 lp pcie x16,31
960,matrox m9138 lp pcie x16,42
961,matrox m9140 lp pcie x16,23
962,matrox m9148 lp pcie x16,40
963,matrox m9188 atx pcie x16,45
964,matrox millennium p650 pcie 128,5
965,matrox millennium p690 pcie x16,366
966,matrox millennium p690 plus lp pcie x16,6
967,matrox parhelia 128mb,3
968,matrox parhelia 256mb,9
969,matrox parhelia apve,5
970,medion radeon 9800 xxl,71
971,medion radeon x740xl,94
972,meta virtual monitor,20761
973,meta virtual monitor ryzen 5 5625u,1008
974,mi pad 5 adreno 640,657
975,miracast display port driver v3,8421
976,mirage driver,1261
977,mirrorop virtual adaptor ryzen 7 pro 5850u,1345
978,mirrorv3,1080
979,mobile famiglia express chipset 45,38
980,mobile 4 express chipsatzfamilie,44
981,mobile 45 express,38
982,mobile 45 express chipsatzfamilie,117
983,mobile 915gm gms 910gml express,1
984,mobile 945 express,1
985,mobile 945gm express,5
986,mobile 945gm gu express,5
987,mobile 965 express,46
988,mobile 965 express br 0907 0461 v1839,8
989,mobile 965 express chipsatzfamilie,24
990,mobile hd,244
991,mobile serie 4 express,44
992,mobile intel965 express,17
993,mobility firegl 7800,4
994,mobility firegl t2,40
995,mobility firegl t2 t2e,33
996,mobility firegl v3200,62
997,mobility firegl v5000,81
998,mobility firegl v5200,44
999,mobility firegl v5250,27
1000,mobility firegl v5725,219
1001,mobility igp 9000 9100,10
1002,mobility radeon 4100,81
1003,mobility radeon 7000 igp,6
1004,mobility radeon 7500,3
1005,mobility radeon 9000,3
1006,mobility radeon 9000 igp,7
1007,mobility radeon 9000 9100 igp,5
1008,mobility radeon 9100 igp,2
1009,mobility radeon 9200,3
1010,mobility radeon 9550,30
1011,mobility radeon 9600,36
1012,mobility radeon 9600 pro turbo,24
1013,mobility radeon 9600 9700,39
1014,mobility radeon 9700,27
1015,mobility radeon 9800,46
1016,mobility radeon hd 2300,50
1017,mobility radeon hd 2400,89
1018,mobility radeon hd 2400 xt,102
1019,mobility radeon hd 2600,167
1020,mobility radeon hd 2600 xt,191
1021,mobility radeon hd 3400 serisi,111
1022,mobility radeon hd 3410,62
1023,mobility radeon hd 3430,98
1024,mobility radeon hd 3450,91
1025,mobility radeon hd 3470,93
1026,mobility radeon hd 3470 hybrid x2,93
1027,mobility radeon hd 3650,141
1028,mobility radeon hd 3670,232
1029,mobility radeon hd 3850,365
1030,mobility radeon hd 3870,547
1031,mobility radeon hd 3870 x2,477
1032,mobility radeon hd 4200,90
1033,mobility radeon hd 4225,66
1034,mobility radeon hd 4250,98
1035,mobility radeon hd 4270,92
1036,mobility radeon hd 4300 serisi,73
1037,mobility radeon hd 4330,135
1038,mobility radeon hd 4350,148
1039,mobility radeon hd 4550,191
1040,mobility radeon hd 4570,149
1041,mobility radeon hd 4650,401
1042,mobility radeon hd 4670,463
1043,mobility radeon hd 4830,511
1044,mobility radeon hd 4850,866
1045,mobility radeon hd 4870,719
1046,mobility radeon hd 5000,773
1047,mobility radeon hd 5000 serisi,478
1048,mobility radeon hd 5165,284
1049,mobility radeon hd 530v,174
1050,mobility radeon hd 540v,188
1051,mobility radeon hd 5430,181
1052,mobility radeon hd 5450,214
1053,mobility radeon hd 545v,199
1054,mobility radeon hd 5470,236
1055,mobility radeon hd 550v,266
1056,mobility radeon hd 5570,525
1057,mobility radeon hd 560v,318
1058,mobility radeon hd 5650,442
1059,mobility radeon hd 565v,353
1060,mobility radeon hd 5730,507
1061,mobility radeon hd 5850,763
1062,mobility radeon hd 5870,1088
1063,mobility radeon hd serie 4200,96
1064,mobility radeon x1300,39
1065,mobility radeon x1350,39
1066,mobility radeon x1400,42
1067,mobility radeon x1450,33
1068,mobility radeon x1600,92
1069,mobility radeon x1700,104
1070,mobility radeon x1800,130
1071,mobility radeon x1900,134
1072,mobility radeon x2300,48
1073,mobility radeon x2300 hd,48
1074,mobility radeon x2500,81
1075,mobility radeon x300,33
1076,mobility radeon x600,50
1077,mobility radeon x600 se,49
1078,mobility radeon x700,66
1079,mobility radeon x700 xl,59
1080,mobility radeon xpress 200,27
1081,mobility radeon hd 5470,215
1082,mobility radeon 9000,4
1083,monster geforce gtx 675m,2637
1084,moore threads s3000 mtvgpu 1132,1997
1085,mxgpu,1282
1086,n16p gx,1204
1087,n18e q1,2525
1088,nforce 750a sli,83
1089,nforce 760i sli,140
1090,nforce 780a sli,92
1091,nforce 980a 780a sli,164
1092,nv44,15
1093,a10,22064
1094,a10 4q,2756
1095,a10g,17660
1096,a40,13900
1097,a40 12q,4335
1098,a40 4q,4240
1099,a40 8q,4681
1100,geforce3 ti200,5
1101,titan x,13659
1102,titan xp,18750
1103,nvs 2100m,139
1104,nvs 300,121
1105,nvs 310,273
1106,nvs 3100m,119
1107,nvs 315,324
1108,nvs 4200m,300
1109,nvs 510,682
1110,nvs 5100m,199
1111,nvs 5200m,504
1112,nvs 5400m,614
1113,nvs 810,1188
1114,opal xt gl,1053
1115,p102 100,2911
1116,p104 100,3614
1117,p106 090,2404
1118,p106 100,6755
1119,parsec virtual display adapter,15007
1120,parsec virtual display adapter ryzen 5 5600gt,2712
1121,pci ven 1002 dev 164e subsys d0001458 rev c3 ryzen,1653
1122,pci ven 1002 dev 164e subsys d0001458 rev c7 ryzen,1642
1123,phdgd ivy 4,374
1124,phdgd ivy 5,445
1125,phdgd quantic c3,116
1126,phdgd sapphire gr for mobile 965,25
1127,phdgd solo 1 2 0 x86,11
1128,phdgd solo 2 x64,20
1129,q12u 1,5164
1130,quadro 1000m,558
1131,quadro 1100m,755
1132,quadro 2000,947
1133,quadro 2000 d,1239
1134,quadro 2000d,976
1135,quadro 2000m,776
1136,quadro 2100m,1100
1137,quadro 280 nvs pcie,5
1138,quadro 3000m,999
1139,quadro 400,148
1140,quadro 4000,1474
1141,quadro 4000m,1287
1142,quadro 410,438
1143,quadro 5000,1961
1144,quadro 5000m,2059
1145,quadro 500m,570
1146,quadro 5010m,1691
1147,quadro 600,525
1148,quadro 6000,2687
1149,quadro 7000,3505
1150,quadro cx,947
1151,quadro fx 1000,34
1152,quadro fx 1100,35
1153,quadro fx 1300,34
1154,quadro fx 1400,124
1155,quadro fx 1500,169
1156,quadro fx 1500m,171
1157,quadro fx 1600m,231
1158,quadro fx 1700,207
1159,quadro fx 1700m,172
1160,quadro fx 1800,402
1161,quadro fx 1800m,494
1162,quadro fx 2000,18
1163,quadro fx 2500m,217
1164,quadro fx 2700,543
1165,quadro fx 2700m,366
1166,quadro fx 2800m,414
1167,quadro fx 3000,69
1168,quadro fx 3400 4400,104
1169,quadro fx 3450,148
1170,quadro fx 3450 4000 sdi,179
1171,quadro fx 350,85
1172,quadro fx 3500,265
1173,quadro fx 3500m,306
1174,quadro fx 350m,44
1175,quadro fx 3600m,466
1176,quadro fx 360m,86
1177,quadro fx 370,83
1178,quadro fx 370 low profile,102
1179,quadro fx 370 lp,108
1180,quadro fx 3700,372
1181,quadro fx 3700m,450
1182,quadro fx 370m,93
1183,quadro fx 380,173
1184,quadro fx 380 lp,144
1185,quadro fx 3800,827
1186,quadro fx 3800m,574
1187,quadro fx 380m,120
1188,quadro fx 4000,101
1189,quadro fx 4500,227
1190,quadro fx 4500 x2,236
1191,quadro fx 4600,410
1192,quadro fx 4700 x2,676
1193,quadro fx 4800,1000
1194,quadro fx 500 600 pci,14
1195,quadro fx 500 fx 600,7
1196,quadro fx 540,80
1197,quadro fx 550,63
1198,quadro fx 5500,242
1199,quadro fx 560,113
1200,quadro fx 5600,525
1201,quadro fx 570,248
1202,quadro fx 570m,99
1203,quadro fx 580,176
1204,quadro fx 5800,1210
1205,quadro fx 770m,220
1206,quadro fx 880m,230
1207,quadro fx go1400,101
1208,quadro gp100,14953
1209,quadro gv100,19649
1210,quadro k1000m,769
1211,quadro k1100m,1087
1212,quadro k1200,2959
1213,quadro k2000,1578
1214,quadro k2000d,1590
1215,quadro k2000m,1001
1216,quadro k2100m,1367
1217,quadro k2200,3577
1218,quadro k2200m,3497
1219,quadro k3000m,1648
1220,quadro k3100m,2261
1221,quadro k4000,2723
1222,quadro k4000m,2010
1223,quadro k4100m,2763
1224,quadro k420,732
1225,quadro k4200,4332
1226,quadro k5000,3970
1227,quadro k5000m,2804
1228,quadro k5100m,3219
1229,quadro k510m,641
1230,quadro k5200,6145
1231,quadro k600,726
1232,quadro k6000,8055
1233,quadro k610m,713
1234,quadro k620,2220
1235,quadro k620m,1163
1236,quadro m1000m,2840
1237,quadro m1200,3207
1238,quadro m2000,4019
1239,quadro m2000m,3437
1240,quadro m2200,4276
1241,quadro m3000m,5544
1242,quadro m4000,6679
1243,quadro m4000m,6135
1244,quadro m5000,9445
1245,quadro m5000m,7052
1246,quadro m500m,1177
1247,quadro m520,1891
1248,quadro m5500,7915
1249,quadro m6000,11780
1250,quadro m6000 24gb,11782
1251,quadro m600m,2223
1252,quadro m620,2782
1253,quadro nvs 110m,47
1254,quadro nvs 120m,46
1255,quadro nvs 130m,97
1256,quadro nvs 135m,50
1257,quadro nvs 140m,78
1258,quadro nvs 150m,70
1259,quadro nvs 160m,145
1260,quadro nvs 210s,23
1261,quadro nvs 210s geforce 6150le,20
1262,quadro nvs 280 pci,8
1263,quadro nvs 280 sd,2
1264,quadro nvs 285,43
1265,quadro nvs 285 128mb,38
1266,quadro nvs 290,228
1267,quadro nvs 295,109
1268,quadro nvs 320m,208
1269,quadro nvs 420,120
1270,quadro nvs 440,37
1271,quadro nvs 450,66
1272,quadro nvs 510m,238
1273,quadro nvs 55 280 pci,6
1274,quadro p1000,4510
1275,quadro p2000,6958
1276,quadro p2000 with max q design,5263
1277,quadro p2200,9358
1278,quadro p3000,6477
1279,quadro p3200,8582
1280,quadro p3200 with max q design,9078
1281,quadro p400,1654
1282,quadro p4000,11466
1283,quadro p4000 with max q design,9082
1284,quadro p4200,10566
1285,quadro p4200 with max q design,11703
1286,quadro p500,1647
1287,quadro p5000,12637
1288,quadro p520,2052
1289,quadro p5200,11781
1290,quadro p5200 with max q design,12308
1291,quadro p600,3321
1292,quadro p6000,15378
1293,quadro p620,3671
1294,quadro rtx 3000,10948
1295,quadro rtx 3000 with max q design,8143
1296,quadro rtx 4000,15180
1297,quadro rtx 4000,11721
1298,quadro rtx 4000 with max q design,12479
1299,quadro rtx 5000,15602
1300,quadro rtx 5000,14832
1301,quadro rtx 5000 with max q design,12980
1302,quadro rtx 6000,18226
1303,quadro rtx 8000,19798
1304,quadro t1000,6483
1305,quadro t1000 with max q design,6736
1306,quadro t2000,7265
1307,quadro t2000 with max q design,6868
1308,quadro2 mxr ex,4
1309,quadro2 pro,1
1310,quadro4 380 xgl,6
1311,quadro4 900 xgl,4
1312,quadro4 980 xgl,5
1313,qualcomm adreno 540,126
1314,qualcomm adreno 618,127
1315,qualcomm adreno 630,281
1316,qualcomm adreno 675,539
1317,qualcomm adreno 680,884
1318,qualcomm adreno 685,975
1319,qualcomm adreno 690,1052
1320,qualcomm adreno 7c gen 3,763
1321,qualcomm adreno 7c gen 3,672
1322,qualcomm adreno 8cx gen 3,1960
1323,qualcomm adreno 8cx gen 3,1909
